date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:36	27169/27169	---M--	200	added ('OK')	application/javascript	etag:%2221d464f-6a21-4f8d5dbe01c32%22	http://preview.oklerthemes.com/porto/3.0.0/js/theme.plugins.js	D:israpool2/isr/preview.oklerthemes.com/porto/3.0.0/js/theme.plugins.js	(from http://preview.oklerthemes.com/porto/3.0.0/)
17:00:37	52796/52796	---M--	200	added ('OK')	application/javascript	etag:%2243aea2a-ce3c-4f8d5ea15d1b4%22	http://preview.oklerthemes.com/porto/3.0.0/vendor/owl-carousel/owl.carousel.js	D:israpool2/isr/preview.oklerthemes.com/porto/3.0.0/vendor/owl-carousel/owl.carousel.js	(from http://preview.oklerthemes.com/porto/3.0.0/)
17:00:37	22951/22951	---M--	200	added ('OK')	application/javascript	etag:%2221d464e-59a7-4f8d5dbdea32e%22	http://preview.oklerthemes.com/porto/3.0.0/js/theme.js	D:israpool2/isr/preview.oklerthemes.com/porto/3.0.0/js/theme.js	(from http://preview.oklerthemes.com/porto/3.0.0/)
17:00:40	11054/11054	---M--	200	added ('OK')	application/javascript	etag:%2243aeb72-2b2e-4f8d5ea4ee3e0%22	http://preview.oklerthemes.com/porto/3.0.0/vendor/circle-flip-slideshow/js/jquery.flipshow.js	D:israpool2/isr/preview.oklerthemes.com/porto/3.0.0/vendor/circle-flip-slideshow/js/jquery.flipshow.js	(from http://preview.oklerthemes.com/porto/3.0.0/)
17:00:41	2794/2794	---M--	200	added ('OK')	application/javascript	etag:%2221d4663-aea-4f8d5dbda8489%22	http://preview.oklerthemes.com/porto/3.0.0/js/views/view.home.js	D:israpool2/isr/preview.oklerthemes.com/porto/3.0.0/js/views/view.home.js	(from http://preview.oklerthemes.com/porto/3.0.0/)
17:00:41	41/41	---M--	200	added ('OK')	application/javascript	etag:%2221d4672-29-4f8d5dbdbadf8%22	http://preview.oklerthemes.com/porto/3.0.0/js/custom.js	D:israpool2/isr/preview.oklerthemes.com/porto/3.0.0/js/custom.js	(from http://preview.oklerthemes.com/porto/3.0.0/)
17:00:48	38205/38205	---M--	200	added ('OK')	text/plain	etag:%2243aebfa-953d-4f8d5ea77c6f9%22	http://preview.oklerthemes.com/porto/3.0.0/vendor/font-awesome/fonts/fontawesome-webfont.eot?v=4.0.3	D:israpool2/isr/preview.oklerthemes.com/porto/3.0.0/vendor/font-awesome/fonts/fontawesome-webfontba72.eot	(from http://preview.oklerthemes.com/porto/3.0.0/vendor/font-awesome/css/font-awesome.css)
17:00:50	85185/85185	---M--	200	added ('OK')	application/javascript	etag:%2243b830e-14cc1-4f8d5eb89f00a%22	http://preview.oklerthemes.com/porto/3.0.0/vendor/rs-plugin/js/jquery.themepunch.plugins.min.js	D:israpool2/isr/preview.oklerthemes.com/porto/3.0.0/vendor/rs-plugin/js/jquery.themepunch.plugins.min.js	(from http://preview.oklerthemes.com/porto/3.0.0/)
17:00:52	141583/141583	---M--	200	added ('OK')	application/javascript	etag:%2243ae777-2290f-4f8d5e9bb139a%22	http://preview.oklerthemes.com/porto/3.0.0/vendor/mediaelement/mediaelement-and-player.js	D:israpool2/isr/preview.oklerthemes.com/porto/3.0.0/vendor/mediaelement/mediaelement-and-player.js	(from http://preview.oklerthemes.com/porto/3.0.0/)
17:00:54	38205/38205	---M--	200	added ('OK')	text/plain	etag:%2243aebfa-953d-4f8d5ea77c6f9%22	http://preview.oklerthemes.com/porto/3.0.0/vendor/font-awesome/fonts/fontawesome-webfont.eot?	D:israpool2/isr/preview.oklerthemes.com/porto/3.0.0/vendor/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://preview.oklerthemes.com/porto/3.0.0/vendor/font-awesome/css/font-awesome.css)
17:00:58	202148/202148	---M--	200	added ('OK')	image/svg+xml	etag:%2243aec17-315a4-4f8d5eaab199d%22	http://preview.oklerthemes.com/porto/3.0.0/vendor/font-awesome/fonts/fontawesome-webfont.svg?v=4.0.3	D:israpool2/isr/preview.oklerthemes.com/porto/3.0.0/vendor/font-awesome/fonts/fontawesome-webfontba72.svg	(from http://preview.oklerthemes.com/porto/3.0.0/vendor/font-awesome/css/font-awesome.css)
